"Polygenic Score ID & Name","PGS Publication ID (PGP)","Reported Trait","Mapped Trait(s) (Ontology)","Number of Variants","Ancestry distribution","Scoring File (FTP Link)"
PGS000945(GBE_HC710),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Dementia in alzheimer's disease (time-to-event)","Alzheimer's disease,<br>Dementia",26,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000945/ScoringFiles/PGS000945.txt.gz
PGS000946(GBE_HC713),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Unspecified dementia (time-to-event)",Dementia,9,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000946/ScoringFiles/PGS000946.txt.gz
PGS000947(GBE_BIN_FC1006149),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mouth ulcers","Oral ulcer","1,648",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000947/ScoringFiles/PGS000947.txt.gz
PGS000948(GBE_HC243),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Inguinal hernia","Inguinal hernia","1,899",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000948/ScoringFiles/PGS000948.txt.gz
PGS000949(GBE_HC1094),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Inguinal hernia (time-to-event)","Inguinal hernia","3,085",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000949/ScoringFiles/PGS000949.txt.gz
PGS000950(GBE_HC1171),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Skin changes due to chronic exposure to nonionising radiation (time-to-event)","response to radiation",169,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000950/ScoringFiles/PGS000950.txt.gz
PGS000951(GBE_INI3144),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel Broadband ultrasound attenuation, direct entry","bone quantitative ultrasound measurement","13,735",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000951/ScoringFiles/PGS000951.txt.gz
PGS000952(GBE_INI3147),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel quantitative ultrasound index (QUI), direct entry","bone quantitative ultrasound measurement","14,311",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000952/ScoringFiles/PGS000952.txt.gz
PGS000953(GBE_INI4101),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Left heel broadband ultrasound attenuation","bone quantitative ultrasound measurement","7,688",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000953/ScoringFiles/PGS000953.txt.gz
PGS000954(GBE_INI4104),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Left heel quantitative ultrasound index (QUI), direct entry","bone quantitative ultrasound measurement","9,272",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000954/ScoringFiles/PGS000954.txt.gz
PGS000955(GBE_INI4120),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Right heel broadband ultrasound attenuation","bone quantitative ultrasound measurement","7,069",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000955/ScoringFiles/PGS000955.txt.gz
PGS000956(GBE_INI4123),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Right heel quantitative ultrasound index (QUI), direct entry","bone quantitative ultrasound measurement","9,756",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000956/ScoringFiles/PGS000956.txt.gz
PGS000957(GBE_HC932),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Essential (primary hypertension) (time-to-event)","primary hypertension","11,276",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000957/ScoringFiles/PGS000957.txt.gz
PGS000958(GBE_HC273),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Essential hypertension","primary hypertension","9,400",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000958/ScoringFiles/PGS000958.txt.gz
PGS000959(GBE_HC136),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Connective tissue disorder","connective tissue disease",16,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000959/ScoringFiles/PGS000959.txt.gz
PGS000960(GBE_HC1236),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other systemic involvement of connective tissue (time-to-event)","connective tissue disease",79,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000960/ScoringFiles/PGS000960.txt.gz
PGS000961(GBE_HC987),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Phlebitis and thrombophlebitis (time-to-event)","Phlebitis,<br>Thrombophlebitis","1,143",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000961/ScoringFiles/PGS000961.txt.gz
PGS000962(GBE_HC942),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Chronic ischaemic heart disease (time-to-event)","Myocardial Ischemia","2,168",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000962/ScoringFiles/PGS000962.txt.gz
PGS000963(GBE_HC1184),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Follicular cysts of skin and subcutaneous tissue (time-to-event)","Follicular Cyst",264,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000963/ScoringFiles/PGS000963.txt.gz
PGS000964(GBE_HC176),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Slipped disc","Epiphyses, Slipped",47,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000964/ScoringFiles/PGS000964.txt.gz
PGS000965(GBE_HC219),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Hypothyroidism/myxoedema,"hypothyroidism,<br>myxedema","4,535",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000965/ScoringFiles/PGS000965.txt.gz
PGS000966(GBE_HC26),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Iritis,iritis,1,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000966/ScoringFiles/PGS000966.txt.gz
PGS000967(GBE_HC1221),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Coxarthrosis [arthrosis of hip] (time-to-event)","osteoarthritis, hip",634,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000967/ScoringFiles/PGS000967.txt.gz
PGS000969(GBE_INI20015),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Sitting height","sitting height measurement","36,345",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000969/ScoringFiles/PGS000969.txt.gz
PGS000972(GBE_BIN10030500),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Microalbumin [> 40 mg/L]","urinary microalbumin measurement","1,097",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000972/ScoringFiles/PGS000972.txt.gz
PGS000976(GBE_BIN23066),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","JCV seropositivity for Human Polyomavirus JCV","polyomavirus 2 seropositivity",16,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000976/ScoringFiles/PGS000976.txt.gz
PGS000977(GBE_BIN23067),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","MCV seropositivity for Merkel Cell Polyomavirus","merkel cell virus seropositivity",3,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000977/ScoringFiles/PGS000977.txt.gz
PGS000978(GBE_INI1438),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Bread intake","carbohydrate intake measurement","3,483",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000978/ScoringFiles/PGS000978.txt.gz
PGS000980(GBE_BIN_FC40002267),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Use of sun / ultraviolet protection (always)","sun exposure measurement","2,594",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000980/ScoringFiles/PGS000980.txt.gz
PGS000982(GBE_BIN_FC10002267),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Use of sun / ultraviolet protection (never / rarely)","sun exposure measurement","1,141",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000982/ScoringFiles/PGS000982.txt.gz
PGS000984(GBE_INI2237),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Frequency of playing computer games","lifestyle measurement","5,774",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000984/ScoringFiles/PGS000984.txt.gz
PGS000987(GBE_INI30260),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Mean reticulocyte volume","mean reticulocyte volume","13,277",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000987/ScoringFiles/PGS000987.txt.gz
PGS000988(GBE_INI30290),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","High light scatter reticulocyte percentage","reticulocyte measurement","7,184",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000988/ScoringFiles/PGS000988.txt.gz
PGS000989(GBE_INI30240),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Reticulocyte %","reticulocyte measurement","6,251",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000989/ScoringFiles/PGS000989.txt.gz
PGS000990(GBE_HC878),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Retinal detachments and breaks (time-to-event)","retinal detachment,<br>retinal break",237,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000990/ScoringFiles/PGS000990.txt.gz
PGS000991(GBE_BIN_FC4006144),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Never eat sugar","sugar consumption measurement","2,816",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000991/ScoringFiles/PGS000991.txt.gz
PGS000993(GBE_QT_FC1001329),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Oily fish consumption","fish consumption measurement","3,925",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000993/ScoringFiles/PGS000993.txt.gz
PGS000994(GBE_INI1488),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Tea intake","tea consumption measurement","3,119",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000994/ScoringFiles/PGS000994.txt.gz
PGS000995(GBE_BIN_FC6006149),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Dentures,dentures,"6,042",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000995/ScoringFiles/PGS000995.txt.gz
PGS000996(GBE_HC262),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Diverticular disease/diverticulitis","diverticular disease,<br>diverticulitis",368,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000996/ScoringFiles/PGS000996.txt.gz
PGS000997(GBE_HC1106),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Diverticular disease of intestine (time-to-event)","diverticular disease","5,757",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000997/ScoringFiles/PGS000997.txt.gz
PGS000998(GBE_QT_FC1001697),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Comparative body height at age 10","comparative body size at age 10, self-reported","24,144",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000998/ScoringFiles/PGS000998.txt.gz
PGS000999(GBE_QT_FC1001687),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Comparative body size at age 10","comparative body size at age 10, self-reported","13,034",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000999/ScoringFiles/PGS000999.txt.gz
PGS001000(GBE_QT_FC1001190),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Nap during day","nap during day, self-reported","10,264",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001000/ScoringFiles/PGS001000.txt.gz
PGS001001(GBE_QT_FC1001170),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Getting up in morning","ease of getting up in the morning, self-reported","7,743",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001001/ScoringFiles/PGS001001.txt.gz
PGS001002(GBE_INI23102),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Whole body water mass","whole body water mass","35,046",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001002/ScoringFiles/PGS001002.txt.gz
PGS001003(GBE_INI137),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Number of medications taken","number of treatments or medications taken, self-reported","8,085",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001003/ScoringFiles/PGS001003.txt.gz
PGS001004(GBE_INI135),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Number of non-cancer illnesses","number of non-cancer illnesses, self-reported","5,212",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001004/ScoringFiles/PGS001004.txt.gz
PGS001005(GBE_INI134),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Number of self reported cancers","number of cancers, self-reported",526,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001005/ScoringFiles/PGS001005.txt.gz
PGS001006(GBE_BIN_FC1002306),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Weight change compared with 1 year ago","body weight,<br>self-reported trait","2,638",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001006/ScoringFiles/PGS001006.txt.gz
PGS001007(GBE_INI2139),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Age at first sexual intercourse","age at first sexual intercourse measurement","9,997",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001007/ScoringFiles/PGS001007.txt.gz
PGS001008(GBE_QT_FC1002178),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Overall health rating","health satisfaction measurement","10,464",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001008/ScoringFiles/PGS001008.txt.gz
PGS001009(GBE_INI3064),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",PEF,"peak expiratory flow","9,523",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001009/ScoringFiles/PGS001009.txt.gz
PGS001010(GBE_INI1003064),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","PEF pred. ratio","peak expiratory flow","15,135",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001010/ScoringFiles/PGS001010.txt.gz
PGS001011(GBE_HC534),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Viral warts (time-to-event)","common wart",5,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001011/ScoringFiles/PGS001011.txt.gz
PGS001012(GBE_QT_FC1002296),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Number of falls in the last year",fall,"2,103",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001012/ScoringFiles/PGS001012.txt.gz
PGS001013(GBE_BIN_FC5006148),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Macular degeneration","macular degeneration",53,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001013/ScoringFiles/PGS001013.txt.gz
PGS001014(GBE_HC654),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other disorders of pancreatic internal secretion (time-to-event)","pancreas disease",69,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001014/ScoringFiles/PGS001014.txt.gz
PGS001015(GBE_HC85),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Enlarged prostate","prostate disease",449,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001015/ScoringFiles/PGS001015.txt.gz
PGS001016(GBE_BIN1950),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Sensitivity / hurt feelings","feeling emotionally hurt measurement","7,922",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001016/ScoringFiles/PGS001016.txt.gz
PGS001017(GBE_BIN2010),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Suffer from 'nerves'","feeling nervous measurement","3,348",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001017/ScoringFiles/PGS001017.txt.gz
PGS001018(GBE_BIN_FC10006160),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Attending social / leisure activities (attend any of the followings in once a week or more often: sports club, gym, pub, social club, religious group, adult edication class, or other group activity)","social interaction measurement","2,912",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001018/ScoringFiles/PGS001018.txt.gz
PGS001019(GBE_BIN_FC20006160),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Attending social / leisure activities (regular attendance at a gym or sports club)","social interaction measurement","11,361",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001019/ScoringFiles/PGS001019.txt.gz
PGS001020(GBE_BIN_FC50006160),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Attending social / leisure activities (regular attendance at an adult education class)","social interaction measurement",220,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001020/ScoringFiles/PGS001020.txt.gz
PGS001021(GBE_BIN1980),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Feelings of worry or anxiety","worry measurement,<br>anxiety measurement","9,747",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001021/ScoringFiles/PGS001021.txt.gz
PGS001022(GBE_BIN2000),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Worry too long after an embarrassing experience","worry measurement","7,714",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001022/ScoringFiles/PGS001022.txt.gz
PGS001023(GBE_HC703),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Disorders of mineral metabolism (time-to-event)","mineral metabolism disease",2,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001023/ScoringFiles/PGS001023.txt.gz
PGS001024(GBE_HC61),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre",Hemorrhoid,hemorrhoid,786,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001024/ScoringFiles/PGS001024.txt.gz
PGS001025(GBE_HC951),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Nonrheumatic aortic valve disorders (time-to-event)","aortic valve disease",36,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001025/ScoringFiles/PGS001025.txt.gz
PGS001026(GBE_HC83),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Forearm or wrist fracture","upper extremity fracture",45,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001026/ScoringFiles/PGS001026.txt.gz
PGS001027(GBE_HC1228),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Internal derangement of knee (time-to-event)","knee injury",118,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001027/ScoringFiles/PGS001027.txt.gz
PGS001028(GBE_BIN_FC1006148),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Diabetic eye disease","diabetic eye disease",123,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001028/ScoringFiles/PGS001028.txt.gz
PGS001029(GBE_HC866),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other disorders of cornea (time-to-event)","corneal disease",22,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001029/ScoringFiles/PGS001029.txt.gz
PGS001030(GBE_HC84),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Pulmonary fibrosis","pulmonary fibrosis",51,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001030/ScoringFiles/PGS001030.txt.gz
PGS001031(GBE_HC1261),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Fibroblastic disorders (time-to-event)","fibroblastic disorder",252,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001031/ScoringFiles/PGS001031.txt.gz
PGS001032(GBE_HC31),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Uterine fibroids","uterine fibroid measurement",161,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001032/ScoringFiles/PGS001032.txt.gz
PGS001033(GBE_HC624),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Other coagulation defects (time-to-event)","blood coagulation disease",1,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001033/ScoringFiles/PGS001033.txt.gz
PGS001034(GBE_QT_FC10001478),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Salt added to food","diet measurement","6,651",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001034/ScoringFiles/PGS001034.txt.gz
PGS001036(GBE_INI23004),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Epstein Barr virus nuclear antigen 1 IgG seropositivity","Epstein Barr virus nuclear antigen-1 seropositivity",38,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001036/ScoringFiles/PGS001036.txt.gz
PGS001037(GBE_INI78),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Heel bone mineral density (BMD) T-score, automated","heel bone mineral density","14,310",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001037/ScoringFiles/PGS001037.txt.gz
PGS001038(GBE_INI4106),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Left heel bone mineral density (BMD) T-score, automated","heel bone mineral density","9,275",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001038/ScoringFiles/PGS001038.txt.gz
PGS001039(GBE_INI4125),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Right heel bone mineral density (BMD) T-score, automated","heel bone mineral density","9,753",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001039/ScoringFiles/PGS001039.txt.gz
PGS001040(GBE_cancer1060),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Non melanoma skin cancer","non-melanoma skin carcinoma","1,610",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001040/ScoringFiles/PGS001040.txt.gz
PGS001041(GBE_cancer1003),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Skin cancer","skin carcinoma","1,298",'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001041/ScoringFiles/PGS001041.txt.gz
PGS001042(GBE_HC645),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Thyrotoxicosis [hyperthyroidism] (time-to-event)",Thyrotoxicosis,226,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001042/ScoringFiles/PGS001042.txt.gz
PGS001043(GBE_HC55),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Hyperthyroidism, thyrotoxicosis","Hyperthyroidism,<br>Thyrotoxicosis",69,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001043/ScoringFiles/PGS001043.txt.gz
PGS001044(GBE_BIN_FC2006179),"PGP000244|Tanigawa Y et al. medRxiv (2021)|Pre","Glucosamine intake","vitamin supplement exposure measurement",324,'-DE,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS001044/ScoringFiles/PGS001044.txt.gz
